category,screen_name,created_at,text,favorite_count,retweet_count
Sports,NFL,2019-11-29 03:32:51,b'BIG MAN INTERCEPTION!\n\nThe undrafted rookie Shy Tuttle with the pick! #Saints @KingTut_90\n\n\xf0\x9f\x93\xba: #NOvsATL on NBC\n\xf0\x9f\x93\xb1: NF\xe2\x80\xa6 https://t.co/90XwzUm5GZ',3392,814
Sports,NFL,2019-11-29 17:00:25,b'An immovable object meets an unstoppable force. \n\nBuckle up for this showdown.\n\n@49ers | #GoNiners | @Ravens |\xe2\x80\xa6 https://t.co/W1JkMOFXi6',3941,750
Sports,EliudKipchoge,2019-11-29 11:02:06,"b'Honoured to be nominated amongst these great athletes, all in their respective sports.\n\nTo vote please visit:\xe2\x80\xa6 https://t.co/yguZHaNHMC'",4883,760
Sports,channelstv,2019-11-29 13:17:29,"b'25-Year-Old Manufactures, Unveils Nigeria\xe2\x80\x99s First \xe2\x80\x98Carbon Fibre\xe2\x80\x99 Sports Car. https://t.co/Z5Bj4ZzY7A https://t.co/So1FrfYwSp'",1267,458
Sports,NFL,2019-11-29 04:30:12,b'THE @ATLANTAFALCONS RECOVER ANOTHER ONSIDE KICK! \xf0\x9f\x98\xb1 \n\n\xf0\x9f\x93\xba: #NOvsATL on NBC\n\xf0\x9f\x93\xb1: NFL app // Yahoo Sports app\nWatch free o\xe2\x80\xa6 https://t.co/84F7VJljhB',1704,396
Sports,NebraskaOnBTN,2019-11-29 14:31:03,"b'In Fansville, home-field advantage is everything. \n\nWho (does) it better \xe2\x80\x93 Memorial Stadium or Kinnick?\n\n\xf0\x9f\x94\x81 for\xe2\x80\xa6 https://t.co/GsKRhUSHLd'",96,381
Sports,NASCAR,2019-11-29 20:00:29,b'The best sound in sports. \xf0\x9f\x94\x8a https://t.co/hr4uOkxZXu',3031,566
Sports,SkySportsNews,2019-11-29 11:36:45,b'@nicholaspwright Sky Sports News understands there has been contact between Arsenal and Max Allegri over the vacant\xe2\x80\xa6 https://t.co/cTInNF4JqJ',1903,633
Sports,NFL,2019-11-29 01:30:04,b'Taysom Hill blocks punts. Taysom Hill scores TDs.\n\nThe do-it-all player puts the @Saints ahead early! #Saints\xe2\x80\xa6 https://t.co/EAa4XjBJak',2154,453
Sports,NFL,2019-11-29 02:37:27,b'Taysom Hill comes back for seconds! \n\nA 30-yard run for another touchdown! #Saints @T_Hill4\n\n\xf0\x9f\x93\xba: #NOvsATL on NBC\n\xf0\x9f\x93\xb1:\xe2\x80\xa6 https://t.co/Ai0nOv5Tq8',1946,323
Sports,NFL,2019-11-29 01:27:10,b'TAYSOM HILL: PLAYMAKER\n\nA blocked punt gives the @Saints great field position. #Saints @T_Hill4\n\n\xf0\x9f\x93\xba: #NOvsATL on NBC\xe2\x80\xa6 https://t.co/oi7UZfXzLM',1589,332
Sports,NFL,2019-11-29 03:47:09,b'C.J. Gardner-Johnson with his first career INT! #Saints @CGJXXIII\n\n\xf0\x9f\x93\xba: #NOvsATL on NBC\n\xf0\x9f\x93\xb1: NFL app // Yahoo Sports ap\xe2\x80\xa6 https://t.co/SO1kYTduFA',1098,280
Sports,RapSheet,2019-11-29 22:51:09,"b'On the Josh Shaw suspension, via sources close to him:  Shaw went to a Vegas casino this fall with buddies from HS.\xe2\x80\xa6 https://t.co/OAwUksJNkR'",2382,329
Sports,NFL,2019-11-29 00:24:40,"b""The @BuffaloBills' defense has been a brick wall today. \xf0\x9f\x98\xb3\n\nA strip-sack for @TMurphy_93! #GoBills\n\n\xf0\x9f\x93\xba: #BUFvsDAL on\xe2\x80\xa6 https://t.co/A5bf53RR1y""",883,139
Sports,NFL,2019-11-29 00:07:35,"b""Ohhh that's pretty. @JoshAllenQB opts to pass and threads it! #GoBills\n\n\xf0\x9f\x93\xba: #BUFvsDAL on CBS\n\xf0\x9f\x93\xb1: NFL app // Yahoo Spo\xe2\x80\xa6 https://t.co/lfZ08kRmHc""",904,112
Sports,NFL,2019-11-29 01:19:33,b'Third course of the day: @Saints vs. @AtlantaFalcons kicking off now!\xf0\x9f\x8f\x88\n\n\xf0\x9f\x93\xba: #NOvsATL on NBC\n\xf0\x9f\x93\xb1: NFL app // Yahoo Spor\xe2\x80\xa6 https://t.co/lvmILeQ4wW',440,86
Sports,NFL,2019-11-29 00:35:43,b'.@iamvb_87 on the other end of a @dak strike.\n\n#DallasCowboys pull within 11.\n\n\xf0\x9f\x93\xba: #BUFvsDAL on CBS\n\xf0\x9f\x93\xb1: NFL app // Ya\xe2\x80\xa6 https://t.co/aewQuXEOph',493,86
